Sep 19, 2019  07:01:52 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 1981 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 20
Scan Start Mass, 1, amu 
Scan Stop Mass, 100, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.72E-004 
Filament Current, 1.00, mAmps


 36.40,   8.75E-010, 
 36.45,   5.90E-010, 
 36.50,   4.99E-010, 
 36.55,   2.84E-010, 
 36.60,   2.35E-010, 
 36.65,   2.24E-010, 
 36.70,   2.12E-010, 
 36.75,   2.76E-010, 
 36.80,   3.27E-010, 
 36.85,   5.45E-010, 
 36.90,   7.31E-010, 
 36.95,   8.12E-010, 
 37.00,   1.02E-009, 
 37.05,   1.17E-009, 
 37.10,   1.34E-009, 
 37.15,   1.40E-009, 
 37.20,   1.57E-009, 
 37.25,   1.67E-009, 
 37.30,   1.62E-009, 
 37.35,   1.58E-009, 
 37.40,   1.45E-009, 
 37.45,   1.13E-009, 
 37.50,   8.78E-010, 
 37.55,   6.71E-010, 
 37.60,   5.95E-010, 
 37.65,   4.86E-010, 
 37.70,   5.44E-010, 
 37.75,   6.65E-010, 
 37.80,   8.32E-010, 
 37.85,   1.06E-009, 
 37.90,   1.31E-009, 
 37.95,   1.58E-009, 
 38.00,   2.05E-009, 
 38.05,   2.31E-009, 
 38.10,   2.70E-009, 
 38.15,   2.92E-009, 
 38.20,   3.04E-009, 
 38.25,   3.17E-009, 
 38.30,   3.05E-009, 
 38.35,   2.95E-009, 
 38.40,   2.60E-009, 
 38.45,   2.04E-009, 
 38.50,   1.58E-009, 
 38.55,   1.34E-009, 
 38.60,   1.26E-009, 
 38.65,   1.38E-009, 
 38.70,   1.65E-009, 
 38.75,   2.23E-009, 
 38.80,   3.05E-009, 
 38.85,   4.52E-009, 
 38.90,   6.32E-009, 
 38.95,   8.39E-009, 
 39.00,   1.11E-008, 
 39.05,   1.35E-008, 
 39.10,   1.50E-008, 
 39.15,   1.61E-008, 
 39.20,   1.73E-008, 
 39.25,   1.82E-008, 
 39.30,   1.75E-008, 
 39.35,   1.61E-008, 
 39.40,   1.32E-008, 
 39.45,   9.52E-009, 
 39.50,   6.25E-009, 
 39.55,   4.28E-009, 
 39.60,   3.07E-009, 
 39.65,   2.44E-009, 
 39.70,   2.03E-009, 
 39.75,   1.83E-009, 
 39.80,   1.74E-009, 
 39.85,   1.82E-009, 
 39.90,   2.08E-009, 
 39.95,   2.39E-009, 
 40.00,   2.97E-009, 
 40.05,   3.62E-009, 
 40.10,   3.88E-009, 
 40.15,   4.22E-009, 
 40.20,   4.58E-009, 
 40.25,   5.05E-009, 
 40.30,   5.07E-009, 
 40.35,   4.94E-009, 
 40.40,   4.48E-009, 
 40.45,   3.62E-009, 
 40.50,   2.83E-009, 
 40.55,   2.31E-009, 
 40.60,   2.10E-009, 
 40.65,   2.34E-009, 
 40.70,   3.04E-009, 
 40.75,   4.49E-009, 
 40.80,   6.32E-009, 
